product_id,옵션명,옵션영어명,나이,가격
TC00325630,발 마사지 60분,Foot Massage 60min,성인,"23,668 원"
TC00325630,발 마사지 60분,Foot Massage 60min,아동,"23,668 원"
TC00325630,아로마 마사지 60분,Aroma Massage 60min,성인,"26,627 원"
TC00325630,아로마 마사지 60분,Aroma Massage 60min,아동,"26,627 원"
TC00325630,발 마사지 90분,Foot Massage 90min,성인,"29,585 원"
TC00325630,발 마사지 90분,Foot Massage 90min,아동,"29,585 원"
TC00325630,타이 마사지 60분,Thai Massage 60min,성인,"32,544 원"
TC00325630,핫스톤 마사지 90분,Hot Stone Massage 90min,성인,"32,544 원"
TC00325630,아로마 마사지 90분,Aroma Massage 90min,성인,"32,544 원"
TC00325630,아로마 마사지 90분,Aroma Massage 90min,아동,"32,544 원"
TC00325630,타이 마사지 90분,Thai Massage 90min,성인,"38,461 원"
TC00325630,핫스톤 마사지 120분,Hot Stone Massage 120min,성인,"38,461 원"
TC00325630,아로마 마사지 120분,Aroma Massage 120min,성인,"38,461 원"
TC00325630,아로마 마사지 120분,Aroma Massage 120min,아동,"38,461 원"
TC00325630,타이 마사지 120분,Thai Massage 120min,성인,"44,378 원"
TC00627148,콤보B - 3인그룹 인당 요금,COMBO B FOR 3 PAX,성인,"19,763 원"
TC00627148,콤보A - 2인그룹 인당 요금,COMBO A FOR 2PAX,성인,"21,479 원"
TC00627148,콤보B - 2인그룹 인당 요금,COMBO B FOR 2 PAX,성인,"28,106 원"
TC00627148,콤보A - 1인그룹 요금,COMBO A FOR 1PAX,성인,"39,940 원"
TC00627148,콤보B - 1인그룹 요금,COMBO B FOR 1 PAX,성인,"53,253 원"
TC00934235,나트랑 요리 체험 씨클로 투어,VT04 - Nha Trang cuisine experience by pedicab,아동,"28,993 원"
TC00934235,나트랑 요리 체험 씨클로 투어,VT04 - Nha Trang cuisine experience by pedicab,성인,"52,070 원"
TC01725747,투어픽라운지이용권&공항픽업,Tourpik Lounge Ticket&Airport Pickup,성인,"17,751 원"
TC01725747,투어픽라운지이용권&공항픽업,Tourpik Lounge Ticket&Airport Pickup,아동,"8,876 원"
