여행 ID,관광지,여행일수,여행 동반자 관계,여행 동반자 연령대,성별,나이,product_id,전반적 만족도 점수,카테고리
a_a000011,나트랑,3,"형제/자매, 친인척, 친인척, 친인척, 친인척","20대, 20대, 20대, 30대, 30대",남,20,TC44455859,5,투어/액티비티
a_a000011,나트랑,3,"형제/자매, 친인척, 친인척, 친인척, 친인척","20대, 20대, 20대, 30대, 30대",남,20,TC60471376,5,투어/액티비티
a_a000011,나트랑,3,"형제/자매, 친인척, 친인척, 친인척, 친인척","20대, 20대, 20대, 30대, 30대",남,20,TC87057016,3,투어/액티비티
a_a000012,나트랑,3,,,남,30,TC85086188,5,투어/액티비티
a_a000012,나트랑,3,,,남,30,TC40500827,5,투어/액티비티
a_a000012,나트랑,3,,,남,30,TC87057016,5,투어/액티비티
a_a000014,나트랑,3,"배우자, 친인척, 친인척, 친인척, 친인척, 친인척, 친인척","50대, 50대, 60대, 50대, 50대, 50대, 50대",남,50,TC06082350,4,투어/액티비티
a_a000014,나트랑,3,"배우자, 친인척, 친인척, 친인척, 친인척, 친인척, 친인척","50대, 50대, 60대, 50대, 50대, 50대, 50대",남,50,TC60471376,4,투어/액티비티
a_a000014,나트랑,3,"배우자, 친인척, 친인척, 친인척, 친인척, 친인척, 친인척","50대, 50대, 60대, 50대, 50대, 50대, 50대",남,50,TC22129517,3,투어/액티비티
a_a000016,나트랑,3,,,남,30,TC00934235,5,투어/액티비티
a_a000016,나트랑,3,,,남,30,TC89637596,5,투어/액티비티
a_a000016,나트랑,3,,,남,30,TC44659202,5,투어/액티비티
a_a000018,나트랑,3,"배우자, 자녀, 자녀","40대, 10대, ~9세이하",여,40,TC07648976,5,스파
a_a000018,나트랑,3,"배우자, 자녀, 자녀","40대, 10대, ~9세이하",여,40,TC33354601,4,티켓&푸드
a_a000018,나트랑,3,"배우자, 자녀, 자녀","40대, 10대, ~9세이하",여,40,TC18669194,4,스파
a_a000019,나트랑,3,"동료, 동료, 동료, 동료, 기타, 기타","20대, 20대, 20대, 20대, 20대, 20대",남,20,TC44659202,5,투어/액티비티
a_a000019,나트랑,3,"동료, 동료, 동료, 동료, 기타, 기타","20대, 20대, 20대, 20대, 20대, 20대",남,20,TC03944631,5,투어/액티비티
a_a000019,나트랑,3,"동료, 동료, 동료, 동료, 기타, 기타","20대, 20대, 20대, 20대, 20대, 20대",남,20,TC44455859,5,투어/액티비티
a_a000024,나트랑,3,형제/자매,10대,남,20,TC56459696,4,티켓&푸드
a_a000024,나트랑,3,형제/자매,10대,남,20,TC87057016,4,투어/액티비티
a_a000024,나트랑,3,형제/자매,10대,남,20,TC86861813,4,투어/액티비티
a_a000029,나트랑,3,친구,20대,남,20,TC44455859,5,투어/액티비티
a_a000029,나트랑,3,친구,20대,남,20,TC60471376,5,투어/액티비티
a_a000029,나트랑,3,친구,20대,남,20,TC86861813,5,투어/액티비티
a_a000034,나트랑,2,"배우자, 자녀","40대, 10대",여,30,TC56459696,5,티켓&푸드
a_a000034,나트랑,2,"배우자, 자녀","40대, 10대",여,30,TC44455859,4,투어/액티비티
a_a000041,나트랑,3,"친구, 친구, 친구","20대, 20대, 20대",여,20,TC44659202,5,투어/액티비티
a_a000041,나트랑,3,"친구, 친구, 친구","20대, 20대, 20대",여,20,TC60471376,5,투어/액티비티
a_a000041,나트랑,3,"친구, 친구, 친구","20대, 20대, 20대",여,20,TC19963281,5,투어/액티비티
a_a000050,나트랑,3,친구,30대,남,30,TC44455859,5,투어/액티비티
a_a000050,나트랑,3,친구,30대,남,30,TC85086188,4,투어/액티비티
a_a000050,나트랑,3,친구,30대,남,30,TC56459696,3,티켓&푸드
a_a000058,나트랑,3,배우자,20대,남,30,TC44455859,5,투어/액티비티
a_a000058,나트랑,3,배우자,20대,남,30,TC85086188,4,투어/액티비티
a_a000058,나트랑,3,배우자,20대,남,30,TC56459696,4,티켓&푸드
a_a000061,나트랑,3,,,남,30,TC09127036,5,투어/액티비티
a_a000061,나트랑,3,,,남,30,TC33354601,4,티켓&푸드
a_a000061,나트랑,3,,,남,30,TC18669194,4,스파
a_a000070,나트랑,3,"배우자, 자녀, 자녀","40대, 10대, 10대",여,40,TC06082350,5,투어/액티비티
a_a000070,나트랑,3,"배우자, 자녀, 자녀","40대, 10대, 10대",여,40,TC85086188,5,투어/액티비티
a_a000070,나트랑,3,"배우자, 자녀, 자녀","40대, 10대, 10대",여,40,TC09127036,5,투어/액티비티
a_a000074,나트랑,3,"자녀, 자녀, 자녀","10대, ~9세이하, ~9세이하",여,40,TC87057016,5,투어/액티비티
a_a000074,나트랑,3,"자녀, 자녀, 자녀","10대, ~9세이하, ~9세이하",여,40,TC86861813,5,투어/액티비티
a_a000074,나트랑,3,"자녀, 자녀, 자녀","10대, ~9세이하, ~9세이하",여,40,TC22129517,5,투어/액티비티
a_a000080,나트랑,3,연인,20대,남,20,TC85086188,5,투어/액티비티
a_a000080,나트랑,3,연인,20대,남,20,TC40500827,5,투어/액티비티
a_a000080,나트랑,3,연인,20대,남,20,TC99462579,5,티켓&푸드
a_a000108,나트랑,3,,,남,30,TC85086188,5,투어/액티비티
a_a000108,나트랑,3,,,남,30,TC40500827,5,투어/액티비티
a_a000108,나트랑,3,,,남,30,TC87057016,5,투어/액티비티
a_a000111,나트랑,3,연인,30대,여,20,TC24366239,5,투어/액티비티
