관광지,product_id,상품명,방문지 유형,카테고리
나트랑,TC44455859,나트랑 엠퍼러 선셋 칵테일 디너크루즈 투어,"문화 시설(공연장, 영화관, 전시관 등)",투어/액티비티
나트랑,TC60471376,나트랑 바호 폭포 트래킹 반나절 투어,자연관광지,투어/액티비티
나트랑,TC87057016,나트랑 스탠드업 패들보드 선셋 투어,자연관광지,투어/액티비티
나트랑,TC85086188,나트랑 프리미엄 시티 투어,"역사/유적/종교 시설(문화재, 박물관, 촬영지, 절 등)",투어/액티비티
나트랑,TC40500827,[예약금상품] 판랑 사막 지프투어 (단독투어),"역사/유적/종교 시설(문화재, 박물관, 촬영지, 절 등)",투어/액티비티
나트랑,TC06082350,나트랑 엠퍼러 크루즈 (데이 크루즈),"레저/스포츠 관련 시설(스키, 카트, 수상레저)",투어/액티비티
나트랑,TC22129517,[예약금상품] 지프투어 판랑 사막(조인투어),자연관광지,투어/액티비티
나트랑,TC00934235,나트랑 푸드체험 씨클로 투어,체험 활동 관광지,투어/액티비티
나트랑,TC89637596,나트랑 진주 다이빙 투어 -아바타 리베라 나트랑,체험 활동 관광지,투어/액티비티
나트랑,TC44659202,프리미엄 산호심기 투어 - 푸른바다 만들기,체험 활동 관광지,투어/액티비티
나트랑,TC07648976,나트랑 빈펄 하버 아쿠아필드 찜질방 (QR코드 입장권),"테마시설(놀이공원, 워터파크)",스파
나트랑,TC33354601,빈원더스 나트랑(QR코드 입장권),"테마시설(놀이공원, 워터파크)",티켓&푸드
나트랑,TC18669194,아이 리조트 머드 스파,"테마시설(놀이공원, 워터파크)",스파
나트랑,TC03944631,코랄 다이빙 투어 - 아바타 리베라 나트랑,체험 활동 관광지,투어/액티비티
나트랑,TC56459696,씨푸드 디너뷔페-앰배서더 클럽 나트랑,식당/카페,티켓&푸드
나트랑,TC86861813,양베이 파크 데일리 투어,자연관광지,투어/액티비티
나트랑,TC19963281,나트랑 욜로 호핑투어,체험 활동 관광지,투어/액티비티
나트랑,TC09127036,나트랑 럭셔리 선셋 요트 투어 (카타마란),"레저/스포츠 관련 시설(스키, 카트, 수상레저)",투어/액티비티
나트랑,TC99462579,스카이라이트 루프탑바 입장권,기타,티켓&푸드
나트랑,TC24366239,"콩 포레스트 어드벤쳐 파크 (ATV, 짚라인, 래프팅 체험)",체험 활동 관광지,투어/액티비티
나트랑,TC71721183,루나 스파 나트랑,기타,스파
나트랑,TC26674198,양베이 에코 파크 나트랑,자연관광지,투어/액티비티
나트랑,TC53919975,골드 리프 럭셔리 스파,기타,스파
나트랑,TC25673182,[예약금상품] 나트랑 크레이지 파티 호핑 투어,체험 활동 관광지,투어/액티비티
나트랑,TC58796162,씨푸드 디너뷔페 (쉐라톤 나트랑 호텔 & 스파),식당/카페,스파
나트랑,TC65722506,수 스파 나트랑,기타,스파
나트랑,TC89114618,쿠킹 클래스 (쉐라톤 나트랑),체험 활동 관광지,투어/액티비티
나트랑,TC32188174,타라 스파 나트랑,기타,스파
나트랑,TC19362131,응온 갤러리 나트랑 런치 & 디너 씨푸드 뷔페,식당/카페,티켓&푸드
나트랑,TC91997649,리나타 오아시스 스파 - 깜란 리비에라 비치 리조트 & 스파,기타,스파
나트랑,TC04304386,갈리나 머드 배스 & 스파,기타,스파
나트랑,TC95469251,K 스파 나트랑,기타,스파
푸꾸옥,TC79654972,남부3섬 익스플로어 투어,"레저/스포츠 관련 시설(스키, 카트, 수상레저)",투어&액티비티
